"iso","base_sample","africa","asia","other","pgp95","hjypl","avexpr","extmort4","lat_abst"
"ROM",0,0,0,0,4390.001996872216,0.11299999892448848,7.2727274894714355,NA,0.5111111402511597
"RUS",0,0,0,0,4470.000224328539,0.4169999925653607,8.454545021057129,NA,0.6666666865348816
"RWA",0,1,0,0,650.000141093157,0.042999999052735015,NA,280,0.02222222276031971
"SAU",0,0,1,0,10300.004749302401,0.5279999972961896,7.590909004211426,NA,0.2777777910232544
"SDN",1,1,0,0,1490.000045223388,0.06700000839234653,4,88.19999694824219,0.1666666716337204
"SEN",1,1,0,0,1639.999990782396,0.07199999636081969,6,164.66000366210938,0.15555556118488312
"SGP",1,0,1,0,25500.002527425306,0.6059999992148034,9.318181991577148,17.700000762939453,0.01355555560439825
"SLE",1,1,0,0,520.0000992185564,0.06400000985089321,5.818181991577148,483,0.09222222119569778
"SLV",1,0,0,0,2829.999750042947,0.15700000341752565,5,78.0999984741211,0.15000000596046448
"SOM",0,1,0,0,NA,0.04900000179921527,3,NA,0.1111111119389534
"STP",0,0,0,0,NA,NA,8.409090995788574,NA,0.011111111380159855
"SUR",0,0,0,0,3010.9178020266986,0.25400002011523237,4.681818008422852,32.18000030517578,0.04444444552063942
"SVK",0,0,0,0,6989.999712288299,NA,NA,NA,0.5377777814865112
"SVN",0,0,0,0,10940.003422896885,NA,NA,NA,0.5111111402511597
"SWE",0,0,0,0,19269.992989085735,0.7869999990441449,9.5,NA,0.6888889074325562
"SWZ",0,1,0,0,3320.001039659826,0.16399999765267662,NA,NA,0.29222220182418823
"SYR",0,0,1,0,3070.001258227488,0.4379999992677893,5.818181991577148,NA,0.3888888955116272
"TCD",0,1,0,0,929.999988821303,0.03200000486449766,NA,280,0.1666666716337204
"TGO",1,1,0,0,1370.0001492682609,0.03999999759433748,6.909090995788574,668,0.08888889104127884
"THA",0,0,1,0,6469.99719515562,0.15700000341752565,7.636363506317139,140,0.1666666716337204
"TJK",0,0,1,0,980.0001631945917,NA,NA,NA,0.4333333373069763
"TKM",0,0,1,0,2080.0004047975895,NA,NA,NA,0.4444444477558136
